series,Store,Dept,model,wape,mape,rmse
S01_D01,1,1,global_gbm,0.09078027023382179,9.316087738339283,2482.29340005822
S01_D01,1,1,holt_winters,0.08217450553248239,8.440403560057765,2426.9484907439905
S01_D01,1,1,seasonal_naive,0.08805485772343365,9.079647802985418,2466.358281157876
S01_D02,1,2,global_gbm,0.05934408468434147,5.978077329735413,2962.7194753427416
S01_D02,1,2,holt_winters,0.10855270849578409,10.9663156697447,6028.350348025787
S01_D02,1,2,seasonal_naive,0.06471356447679398,6.418376316361958,3078.5387760787476
S01_D03,1,3,global_gbm,0.13406386315837715,10.18048025293375,14200.436366886133
S01_D03,1,3,holt_winters,0.19100772973084687,15.712493256838409,18954.478735063098
S01_D03,1,3,seasonal_naive,0.10868871117272173,7.549020770562568,13696.958418859997
S01_D04,1,4,global_gbm,0.07533115617749113,7.601176578743903,968.9315669561611
S01_D04,1,4,holt_winters,0.06736523630620274,6.781269843866029,1005.766189562031
S01_D04,1,4,seasonal_naive,0.05834986705865211,5.746660988249947,897.8876964274353
S01_D05,1,5,global_gbm,0.10286391264833422,10.398966095211328,3176.181494704228
S01_D05,1,5,holt_winters,0.13224858030687067,13.54158785734692,4648.037968799956
S01_D05,1,5,seasonal_naive,0.08232965580277656,8.081182835733191,2819.284022597913
S01_D06,1,6,global_gbm,0.05369846483840194,5.631004193779847,2945.6441048155407
S01_D06,1,6,holt_winters,0.10611157175968028,10.66878793689006,5683.146314048806
S01_D06,1,6,seasonal_naive,0.0646615482418419,6.56050081959232,3198.6254288675777
S01_D07,1,7,global_gbm,0.06922191781692827,7.115522202499417,3586.934679635319
S01_D07,1,7,holt_winters,0.08573608560913946,8.879757249038098,4816.719787374779
S01_D07,1,7,seasonal_naive,0.07664377231601542,7.776675809769917,4020.7410008853385
S01_D08,1,8,global_gbm,0.12081586253828042,12.340176940151453,1242.0111999445162
S01_D08,1,8,holt_winters,0.10951125645270234,10.956362778782022,1150.9913249676842
S01_D08,1,8,seasonal_naive,0.068724472848582,6.7834936894590685,802.0903905110794
S01_D09,1,9,global_gbm,0.08108583907770633,8.440024392022687,3025.4953718382117
S01_D09,1,9,holt_winters,0.12149076604238546,12.18867163985277,4111.749291181159
S01_D09,1,9,seasonal_naive,0.11838378109062309,11.79431937978306,6033.337260694883
S01_D10,1,10,global_gbm,0.13433163310200635,13.822944623446126,1403.9498805102075
S01_D10,1,10,holt_winters,0.07949602534796563,7.692918562376673,1123.80391263037
S01_D10,1,10,seasonal_naive,0.08349933147520493,8.281069092075649,946.5924175056261
S01_D11,1,11,global_gbm,0.07345825455542608,7.506452983418549,3083.690208456595
S01_D11,1,11,holt_winters,0.1702906365073006,17.600240546961956,7436.20578598162
S01_D11,1,11,seasonal_naive,0.07707565260191755,7.696486097198946,3441.521340746576
S01_D12,1,12,global_gbm,0.12297444503110261,9.852712981048919,3306.024200219326
S01_D12,1,12,holt_winters,0.15864619774627253,13.920871742891416,4168.213183844405
S01_D12,1,12,seasonal_naive,0.12078738192553833,9.587988425115158,3353.215639612936
S02_D01,2,1,global_gbm,0.1321757459666071,13.344631067912232,5166.770603646976
S02_D01,2,1,holt_winters,0.11152720126324302,11.500500725863125,5563.115693966606
S02_D01,2,1,seasonal_naive,0.07078052255834671,7.02073973827619,3101.4068188991446
S02_D02,2,2,global_gbm,0.07491700800122818,7.614258072157658,5814.071946457619
S02_D02,2,2,holt_winters,0.09735682834563146,9.551267854053599,10222.765143833722
