Store,Dept,Date,Weekly_Sales,IsHoliday,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5
1,1,2019-01-06,24179.96,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-01-13,24578.57,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-01-20,25304.92,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-01-27,26163.33,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-02-03,32780.19,True,0.0,0.0,0.0,0.0,0.0
1,1,2019-02-10,36530.96,True,0.0,0.0,0.0,0.0,0.0
1,1,2019-02-17,25367.57,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-02-24,22753.66,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-03-03,24112.57,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-03-10,26356.86,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-03-17,22521.49,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-03-24,23206.03,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-03-31,21791.68,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-04-07,21683.8,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-04-14,22239.4,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-04-21,21252.37,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-04-28,22124.9,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-05-05,20472.32,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-05-12,19955.95,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-05-19,19709.24,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-05-26,18370.52,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-06-02,18961.2,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-06-09,18726.64,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-06-16,19624.24,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-06-23,18697.45,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-06-30,16566.2,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-07-07,17589.13,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-07-14,17553.08,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-07-21,17094.83,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-07-28,17362.8,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-08-04,17609.34,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-08-11,17611.48,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-08-18,17530.62,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-08-25,16682.24,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-09-01,18325.54,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-09-08,23290.23,True,0.0,0.0,0.0,0.0,0.0
1,1,2019-09-15,22686.42,True,0.0,0.0,0.0,0.0,0.0
1,1,2019-09-22,21168.06,False,0.0,0.0,5870.94,3529.67,0.0
1,1,2019-09-29,22229.07,False,0.0,0.0,5870.94,3529.67,0.0
1,1,2019-10-06,20598.92,False,0.0,0.0,5870.94,3529.67,0.0
1,1,2019-10-13,20954.38,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-10-20,19811.37,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-10-27,21870.01,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-11-03,19804.07,False,0.0,0.0,0.0,0.0,0.0
1,1,2019-11-10,23151.74,False,0.0,0.0,0.0,0.0,0.0
